label,frequency,percent
bug,96,29.09090909090909
enhancement,81,24.545454545454547
mod system,71,21.515151515151516
UI,23,6.969696969696971
refinement,13,3.939393939393939
wip,9,2.727272727272727
questing,8,2.4242424242424243
editor,8,2.4242424242424243
classic bug,6,1.8181818181818181
classic variance,5,1.5151515151515151
regression,5,1.5151515151515151
linux,3,0.9090909090909091
mac,1,0.30303030303030304
refacto,1,0.30303030303030304
